metric,value
average_alignment_r2,0.8225621989369393
standard_error_alignment_r2,0.007980098129683475
average_alignment_normalized_mse,0.17743779998272657
standard_error_alignment_normalized_mse,0.00798009823401099
average_alignment_mse,0.18137500416487456
standard_error_alignment_mse,0.008307257400056733
average_alignment_shuffled_r2,-0.012679253406822681
standard_error_alignment_shuffled_r2,0.0009781267641205279
average_alignment_neural_predictivity,0.9078016203641891
standard_error_alignment_neural_predictivity,0.003929356675891239
average_alignment_blind_neural_predictivity,0.8739150983095169
standard_error_alignment_blind_neural_predictivity,0.00464133058126654
average_alignment_ps_np_gain,0.03388652321184054
standard_error_alignment_ps_np_gain,0.0017211467561698806
average_alignment_shuffled_neural_predictivity,0.0032486516871722414
standard_error_alignment_shuffled_neural_predictivity,0.0001308688358557925
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
