metric,value
average_alignment_r2,0.9099392187595368
standard_error_alignment_r2,0.006086840725817192
average_alignment_normalized_mse,0.09006077824160456
standard_error_alignment_normalized_mse,0.00608684086212997
average_alignment_mse,0.09078610558062791
standard_error_alignment_mse,0.006272450880101034
average_alignment_shuffled_r2,-0.023292722273617984
standard_error_alignment_shuffled_r2,0.0014896072461122217
average_alignment_neural_predictivity,0.9538882941007614
standard_error_alignment_neural_predictivity,0.0028986043638220453
average_alignment_blind_neural_predictivity,0.9480786150693894
standard_error_alignment_blind_neural_predictivity,0.0029655814004095585
average_alignment_ps_np_gain,0.005809679817175493
standard_error_alignment_ps_np_gain,0.000609363108978391
average_alignment_shuffled_neural_predictivity,0.002941773018683307
standard_error_alignment_shuffled_neural_predictivity,0.00012215248073679962
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
