metric,value
average_alignment_r2,0.7749703365564347
standard_error_alignment_r2,0.006126313288476702
average_alignment_normalized_mse,0.22502965927124025
standard_error_alignment_normalized_mse,0.006126313196798396
average_alignment_mse,0.22955152228474618
standard_error_alignment_mse,0.00676487847679449
average_alignment_shuffled_r2,-0.009097045692615211
standard_error_alignment_shuffled_r2,0.0001873223937397921
average_alignment_neural_predictivity,0.8789959853887558
standard_error_alignment_neural_predictivity,0.003404092306944255
average_alignment_blind_neural_predictivity,0.8278973710536957
standard_error_alignment_blind_neural_predictivity,0.004401459381006573
average_alignment_ps_np_gain,0.05109861913137138
standard_error_alignment_ps_np_gain,0.0023155959794966285
average_alignment_shuffled_neural_predictivity,0.003225814326433465
standard_error_alignment_shuffled_neural_predictivity,0.000137241061118509
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
