metric,value
average_alignment_r2,0.9064481550455094
standard_error_alignment_r2,0.006980560391521559
average_alignment_normalized_mse,0.09355184437707066
standard_error_alignment_normalized_mse,0.006980560688824316
average_alignment_mse,0.0942535724118352
standard_error_alignment_mse,0.007083919354340178
average_alignment_shuffled_r2,-0.02393672087229788
standard_error_alignment_shuffled_r2,0.0015720850147447948
average_alignment_neural_predictivity,0.9523235017061233
standard_error_alignment_neural_predictivity,0.0032728301527912376
average_alignment_blind_neural_predictivity,0.9464955025911331
standard_error_alignment_blind_neural_predictivity,0.003222839736394608
average_alignment_ps_np_gain,0.005827998333843425
standard_error_alignment_ps_np_gain,0.0008890161602607147
average_alignment_shuffled_neural_predictivity,0.003025251980870962
standard_error_alignment_shuffled_neural_predictivity,0.00013801678921182924
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
