metric,value
average_alignment_r2,0.8508012944459915
standard_error_alignment_r2,0.006392352440763964
average_alignment_normalized_mse,0.14919870540499688
standard_error_alignment_normalized_mse,0.006392352551210371
average_alignment_mse,0.15166813265532256
standard_error_alignment_mse,0.006847889168605741
average_alignment_shuffled_r2,-0.011548417955636978
standard_error_alignment_shuffled_r2,0.0006003602331493042
average_alignment_neural_predictivity,0.9224306744337082
standard_error_alignment_neural_predictivity,0.0032208376903223998
average_alignment_blind_neural_predictivity,0.9010364145040513
standard_error_alignment_blind_neural_predictivity,0.003782746654378724
average_alignment_ps_np_gain,0.021394260965753347
standard_error_alignment_ps_np_gain,0.0012431519209851502
average_alignment_shuffled_neural_predictivity,0.003111632844666019
standard_error_alignment_shuffled_neural_predictivity,0.00015823524619579043
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
